INDEX_,DATE_TIME,SEASON,YEAR,MONTH,MONTH_NAME,DAY_NAME,HOUR,HOUR_INTERVAL,ACCNUM,INVTYPE,INVAGE,INJURY,DISTRICT,NEIGHBOURHOOD,VEHTYPE,VEHICLE_CATEGORY,ALCOHOL
6703039,2011-11-24 20:17:00,Autumn,2011,11,November,Thursday,20,20:00 to 20:59,1265912,Pedestrian,70 to 74,Major,Etobicoke York,West Humber-Clairville (1),Other,Other,<Null>
6723380,2011-11-25 09:58:00,Autumn,2011,11,November,Friday,09,09:00 to 09:59,1276528,Vehicle Owner,unknown,<Null>,Toronto and East York,Church-Yonge Corridor (75),Other,Other,<Null>
6723381,2011-11-25 09:58:00,Autumn,2011,11,November,Friday,09,09:00 to 09:59,1276528,Truck Driver,35 to 39,None,Toronto and East York,Church-Yonge Corridor (75),Truck - Open,Other,<Null>
6723382,2011-11-25 09:58:00,Autumn,2011,11,November,Friday,09,09:00 to 09:59,1276528,Vehicle Owner,unknown,<Null>,Toronto and East York,Church-Yonge Corridor (75),Other,Other,<Null>
6723383,2011-11-25 09:58:00,Autumn,2011,11,November,Friday,09,09:00 to 09:59,1276528,Driver,55 to 59,None,Toronto and East York,Church-Yonge Corridor (75),"Automobile, Station Wagon",Automobile,<Null>
6723384,2011-11-25 09:58:00,Autumn,2011,11,November,Friday,09,09:00 to 09:59,1276528,Cyclist,30 to 34,Major,Toronto and East York,Church-Yonge Corridor (75),Bicycle,People,<Null>
6703690,2011-11-25 15:56:00,Autumn,2011,11,November,Friday,15,15:00 to 15:59,1266196,Driver,55 to 59,None,Scarborough,Rouge (131),"Automobile, Station Wagon",Automobile,<Null>
6703691,2011-11-25 15:56:00,Autumn,2011,11,November,Friday,15,15:00 to 15:59,1266196,Cyclist,50 to 54,Major,Scarborough,Rouge (131),Bicycle,People,<Null>
6723032,2011-11-25 16:04:00,Autumn,2011,11,November,Friday,16,16:00 to 16:59,1275965,Driver,20 to 24,None,North York,Banbury-Don Mills (42),"Automobile, Station Wagon",Automobile,<Null>
6723033,2011-11-25 16:04:00,Autumn,2011,11,November,Friday,16,16:00 to 16:59,1275965,Cyclist,60 to 64,Major,North York,Banbury-Don Mills (42),Bicycle,People,<Null>
